Condition,Stage,Species,Previous_gen,Current_gen
Adult_Sim_CC1,Adult,D.Simulans,C,C
Adult_Sim_CC2,Adult,D.Simulans,C,C
Adult_Sim_CC3,Adult,D.Simulans,C,C
Adult_Sim_CO1,Adult,D.Simulans,C,O
Adult_Sim_CO2,Adult,D.Simulans,C,O
Adult_Sim_CO3,Adult,D.Simulans,C,O
Adult_Sim_OC1,Adult,D.Simulans,O,C
Adult_Sim_OC2,Adult,D.Simulans,O,C
Adult_Sim_OC3,Adult,D.Simulans,O,C
Adult_Sim_OO1,Adult,D.Simulans,O,O
Adult_Sim_OO2,Adult,D.Simulans,O,O
Adult_Sim_OO3,Adult,D.Simulans,O,O
Larvae_Sim_CC1,Larvae,D.Simulans,C,C
Larvae_Sim_CC2,Larvae,D.Simulans,C,C
Larvae_Sim_CC3,Larvae,D.Simulans,C,C
Larvae_Sim_CO1,Larvae,D.Simulans,C,O
Larvae_Sim_CO2,Larvae,D.Simulans,C,O
Larvae_Sim_CO3,Larvae,D.Simulans,C,O
Larvae_Sim_OC1,Larvae,D.Simulans,O,C
Larvae_Sim_OC2,Larvae,D.Simulans,O,C
Larvae_Sim_OC3,Larvae,D.Simulans,O,C
Larvae_Sim_OO1,Larvae,D.Simulans,O,O
Larvae_Sim_OO2,Larvae,D.Simulans,O,O
Larvae_Sim_OO3,Larvae,D.Simulans,O,O
Adult_Hybrid_Sim_CC1,Adult,D.Simulans,C,C
Adult_Hybrid_Sim_CC2,Adult,D.Simulans,C,C
Adult_Hybrid_Sim_CC3,Adult,D.Simulans,C,C
Adult_Hybrid_Sim_CO1,Adult,D.Simulans,C,O
Adult_Hybrid_Sim_CO2,Adult,D.Simulans,C,O
Adult_Hybrid_Sim_CO3,Adult,D.Simulans,C,O
Adult_Hybrid_Sim_OC1,Adult,D.Simulans,O,C
Adult_Hybrid_Sim_OC2,Adult,D.Simulans,O,C
Adult_Hybrid_Sim_OC3,Adult,D.Simulans,O,C
Adult_Hybrid_Sim_OO1,Adult,D.Simulans,O,O
Adult_Hybrid_Sim_OO2,Adult,D.Simulans,O,O
Adult_Hybrid_Sim_OO3,Adult,D.Simulans,O,O
Larvae_Hybrid_Sim_CC1,Larvae,D.Simulans,C,C
Larvae_Hybrid_Sim_CC2,Larvae,D.Simulans,C,C
Larvae_Hybrid_Sim_CC3,Larvae,D.Simulans,C,C
Larvae_Hybrid_Sim_CO1,Larvae,D.Simulans,C,O
Larvae_Hybrid_Sim_CO2,Larvae,D.Simulans,C,O
Larvae_Hybrid_Sim_CO3,Larvae,D.Simulans,C,O
Larvae_Hybrid_Sim_OC1,Larvae,D.Simulans,O,C
Larvae_Hybrid_Sim_OC2,Larvae,D.Simulans,O,C
Larvae_Hybrid_Sim_OC3,Larvae,D.Simulans,O,C
Larvae_Hybrid_Sim_OO1,Larvae,D.Simulans,O,O
Larvae_Hybrid_Sim_OO2,Larvae,D.Simulans,O,O
Larvae_Hybrid_Sim_OO3,Larvae,D.Simulans,O,O
Adult_Sec_CC1,Adult,D.Sechellia,C,C
Adult_Sec_CC2,Adult,D.Sechellia,C,C
Adult_Sec_CC3,Adult,D.Sechellia,C,C
Adult_Sec_CO1,Adult,D.Sechellia,C,O
Adult_Sec_CO2,Adult,D.Sechellia,C,O
Adult_Sec_CO3,Adult,D.Sechellia,C,O
Adult_Sec_OC1,Adult,D.Sechellia,O,C
Adult_Sec_OC2,Adult,D.Sechellia,O,C
Adult_Sec_OC3,Adult,D.Sechellia,O,C
Adult_Sec_OO1,Adult,D.Sechellia,O,O
Adult_Sec_OO2,Adult,D.Sechellia,O,O
Adult_Sec_OO3,Adult,D.Sechellia,O,O
Larvae_Sec_CC1,Larvae,D.Sechellia,C,C
Larvae_Sec_CC2,Larvae,D.Sechellia,C,C
Larvae_Sec_CC3,Larvae,D.Sechellia,C,C
Larvae_Sec_CO1,Larvae,D.Sechellia,C,O
Larvae_Sec_CO2,Larvae,D.Sechellia,C,O
Larvae_Sec_CO3,Larvae,D.Sechellia,C,O
Larvae_Sec_OC1,Larvae,D.Sechellia,O,C
Larvae_Sec_OC2,Larvae,D.Sechellia,O,C
Larvae_Sec_OC3,Larvae,D.Sechellia,O,C
Larvae_Sec_OO1,Larvae,D.Sechellia,O,O
Larvae_Sec_OO2,Larvae,D.Sechellia,O,O
Larvae_Sec_OO3,Larvae,D.Sechellia,O,O
Adult_Hybrid_Sec_CC1,Adult,D.Sechellia,C,C
Adult_Hybrid_Sec_CC2,Adult,D.Sechellia,C,C
Adult_Hybrid_Sec_CC3,Adult,D.Sechellia,C,C
Adult_Hybrid_Sec_CO1,Adult,D.Sechellia,C,O
Adult_Hybrid_Sec_CO2,Adult,D.Sechellia,C,O
Adult_Hybrid_Sec_CO3,Adult,D.Sechellia,C,O
Adult_Hybrid_Sec_OC1,Adult,D.Sechellia,O,C
Adult_Hybrid_Sec_OC2,Adult,D.Sechellia,O,C
Adult_Hybrid_Sec_OC3,Adult,D.Sechellia,O,C
Adult_Hybrid_Sec_OO1,Adult,D.Sechellia,O,O
Adult_Hybrid_Sec_OO2,Adult,D.Sechellia,O,O
Adult_Hybrid_Sec_OO3,Adult,D.Sechellia,O,O
Larvae_Hybrid_Sec_CC1,Larvae,D.Sechellia,C,C
Larvae_Hybrid_Sec_CC2,Larvae,D.Sechellia,C,C
Larvae_Hybrid_Sec_CC3,Larvae,D.Sechellia,C,C
Larvae_Hybrid_Sec_CO1,Larvae,D.Sechellia,C,O
Larvae_Hybrid_Sec_CO2,Larvae,D.Sechellia,C,O
Larvae_Hybrid_Sec_CO3,Larvae,D.Sechellia,C,O
Larvae_Hybrid_Sec_OC1,Larvae,D.Sechellia,O,C
Larvae_Hybrid_Sec_OC2,Larvae,D.Sechellia,O,C
Larvae_Hybrid_Sec_OC3,Larvae,D.Sechellia,O,C
Larvae_Hybrid_Sec_OO1,Larvae,D.Sechellia,O,O
Larvae_Hybrid_Sec_OO2,Larvae,D.Sechellia,O,O
Larvae_Hybrid_Sec_OO3,Larvae,D.Sechellia,O,O
